,pos,event,shift_start,shift_end,platform,expected_income,res_wage,informed,registered,work_exp,days_since_reg,rejected_reg,multihoming,ptcp
1,1571092666,driverEvent.STARTS_DAY,0,86400,;,229.60090762628334,229.60090762628334,True,False,,,False,True,False
2,1679761037,driverEvent.STARTS_DAY,0,86400,;,109.05321079603598,109.05321079603598,True,False,,,False,True,False
3,44763544,driverEvent.STARTS_DAY,0,86400,;,90.25057477124355,90.25057477124355,True,False,,,False,True,False
4,1385072819,driverEvent.STARTS_DAY,0,86400,0;1,266.2017885280841,266.2017885280841,True,True,0.0,0.0,False,True,False
5,5171875773,driverEvent.STARTS_DAY,0,86400,;,88.26864955154487,88.26864955154487,True,False,,,False,True,False
6,4301397894,driverEvent.STARTS_DAY,0,86400,;,129.4831320081461,129.4831320081461,True,False,,,False,True,False
7,1608998265,driverEvent.STARTS_DAY,0,86400,0;1,179.15911330211176,179.15911330211176,True,True,0.0,0.0,False,True,True
8,1435362416,driverEvent.STARTS_DAY,0,86400,;,204.24511997009833,204.24511997009833,True,False,,,False,True,False
9,4053473202,driverEvent.STARTS_DAY,0,86400,;,112.43835098736427,112.43835098736427,True,False,,,False,True,False
10,1552650442,driverEvent.STARTS_DAY,0,86400,;,124.48716123301124,124.48716123301124,True,False,,,False,True,False
11,343279835,driverEvent.STARTS_DAY,0,86400,;,143.4663053540735,143.4663053540735,True,False,,,False,True,False
12,4986579688,driverEvent.STARTS_DAY,0,86400,;,130.57743127722068,130.57743127722068,True,False,,,False,True,False
13,44849727,driverEvent.STARTS_DAY,0,86400,;,124.07900298478421,124.07900298478421,True,False,,,False,True,False
14,1402771588,driverEvent.STARTS_DAY,0,86400,;,163.0924493419,163.0924493419,True,False,,,False,True,False
15,44850245,driverEvent.STARTS_DAY,0,86400,;,604.7183522077522,604.7183522077522,True,False,,,False,True,False
16,44827611,driverEvent.STARTS_DAY,0,86400,;,506.1869774663899,506.1869774663899,True,False,,,False,True,False
17,889276759,driverEvent.STARTS_DAY,0,86400,0;1,339.179350281878,339.179350281878,True,True,0.0,0.0,False,True,True
18,7098470106,driverEvent.STARTS_DAY,0,86400,;,26.348578121541316,26.348578121541316,True,False,,,False,True,False
19,44854275,driverEvent.STARTS_DAY,0,86400,0;1,130.22321020989878,130.22321020989878,True,True,0.0,0.0,False,True,False
20,1435362533,driverEvent.STARTS_DAY,0,86400,;,98.29394317019155,98.29394317019155,True,False,,,False,True,False
21,44830993,driverEvent.STARTS_DAY,0,86400,;,120.72873434873843,120.72873434873843,True,False,,,False,True,False
22,44814377,driverEvent.STARTS_DAY,0,86400,;,165.6916801738366,165.6916801738366,True,False,,,False,True,False
23,1448535914,driverEvent.STARTS_DAY,0,86400,;,646.8228081602535,646.8228081602535,True,False,,,False,True,False
24,3684805925,driverEvent.STARTS_DAY,0,86400,;,170.20006215771716,170.20006215771716,True,False,,,False,True,False
25,44831875,driverEvent.STARTS_DAY,0,86400,;,83.55466445212458,83.55466445212458,True,False,,,False,True,False
26,1530303707,driverEvent.STARTS_DAY,0,86400,;,60.87048335702143,60.87048335702143,True,False,,,False,True,False
27,1833104084,driverEvent.STARTS_DAY,0,86400,;,41.51943310753308,41.51943310753308,True,False,,,False,True,False
28,1436427187,driverEvent.STARTS_DAY,0,86400,;,140.73392988985893,140.73392988985893,True,False,,,False,True,False
29,44905729,driverEvent.STARTS_DAY,0,86400,;,123.47806518762549,123.47806518762549,True,False,,,False,True,False
30,4095856086,driverEvent.STARTS_DAY,0,86400,;,147.10121658006943,147.10121658006943,True,False,,,False,True,False
31,2162745213,driverEvent.STARTS_DAY,0,86400,;,129.0294713448703,129.0294713448703,True,False,,,False,True,False
32,5471679248,driverEvent.STARTS_DAY,0,86400,;,167.16987992667913,167.16987992667913,True,False,,,False,True,False
33,1391417256,driverEvent.STARTS_DAY,0,86400,0;1,122.00027498471648,122.00027498471648,True,True,0.0,0.0,False,True,True
34,44798698,driverEvent.STARTS_DAY,0,86400,;,251.91193258460578,251.91193258460578,True,False,,,False,True,False
35,44718825,driverEvent.STARTS_DAY,0,86400,;,523.3845172319819,523.3845172319819,True,False,,,False,True,False
36,44825833,driverEvent.STARTS_DAY,0,86400,;,156.37370076316282,156.37370076316282,True,False,,,False,True,False
37,1584637025,driverEvent.STARTS_DAY,0,86400,;,358.7366135723206,358.7366135723206,True,False,,,False,True,False
38,44693494,driverEvent.STARTS_DAY,0,86400,;,156.95845321168602,156.95845321168602,True,False,,,False,True,False
39,4589342569,driverEvent.STARTS_DAY,0,86400,;,132.1449356212274,132.1449356212274,True,False,,,False,True,False
40,1460714944,driverEvent.STARTS_DAY,0,86400,;,78.60562859747246,78.60562859747246,True,False,,,False,True,False
41,643586468,driverEvent.STARTS_DAY,0,86400,;,178.62054885604456,178.62054885604456,True,False,,,False,True,False
42,1448535795,driverEvent.STARTS_DAY,0,86400,;,74.79472411630637,74.79472411630637,True,False,,,False,True,False
43,44800496,driverEvent.STARTS_DAY,0,86400,;,144.7100822939977,144.7100822939977,True,False,,,False,True,False
