,pax_id,origin,destination,treq,tdep,ttrav,tarr,tdrop,shareable,schedule_id,dist,car_park_cost,dest_center,platform,ride_id,position,sim_schedule
0,0,2635624116,1258470957,2023-06-24 08:52:10,,0 days 00:04:55,2023-06-24 08:57:05,,False,,2958,7.5,False,100,0,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  2.635624e+09  NaN     0.0     o
2  1.258471e+09  NaN     0.0     d"
1,1,44761817,44837765,2023-06-24 08:52:11,,0 days 00:03:56,2023-06-24 08:56:07,,False,,2368,7.5,False,100,1,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44761817.0  NaN     1.0     o
2  44837765.0  NaN     1.0     d"
2,2,565046998,44874703,2023-06-24 08:52:23,,0 days 00:04:33,2023-06-24 08:56:56,,False,,2733,7.5,False,100,2,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1  565046998.0  NaN     2.0     o
2   44874703.0  NaN     2.0     d"
3,3,44855665,7399789767,2023-06-24 08:53:42,,0 days 00:05:35,2023-06-24 08:59:17,,False,,3359,7.5,False,100,3,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.485566e+07  NaN     3.0     o
2  7.399790e+09  NaN     3.0     d"
4,4,3669218094,1571091924,2023-06-24 08:54:07,,0 days 00:05:42,2023-06-24 08:59:49,,False,,3425,7.5,False,100,4,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  3.669218e+09  NaN     4.0     o
2  1.571092e+09  NaN     4.0     d"
5,5,271397035,44827063,2023-06-24 08:54:12,,0 days 00:06:27,2023-06-24 09:00:39,,False,,3871,7.5,False,100,5,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1  271397035.0  NaN     5.0     o
2   44827063.0  NaN     5.0     d"
6,6,1433963033,3377240326,2023-06-24 08:56:20,,0 days 00:04:38,2023-06-24 09:00:58,,False,,2785,7.5,False,100,6,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.433963e+09  NaN     6.0     o
2  3.377240e+09  NaN     6.0     d"
7,7,617806644,44840008,2023-06-24 08:56:32,,0 days 00:03:48,2023-06-24 09:00:20,,False,,2288,7.5,False,100,7,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1  617806644.0  NaN     7.0     o
2   44840008.0  NaN     7.0     d"
8,8,3201816976,1413910861,2023-06-24 08:56:43,,0 days 00:04:51,2023-06-24 09:01:34,,False,,2910,7.5,False,100,8,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  3.201817e+09  NaN     8.0     o
2  1.413911e+09  NaN     8.0     d"
9,9,44776713,44860709,2023-06-24 08:58:01,,0 days 00:05:07,2023-06-24 09:03:08,,False,,3075,7.5,False,100,9,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44776713.0  NaN     9.0     o
2  44860709.0  NaN     9.0     d"
10,10,3201816977,1552650842,2023-06-24 08:58:23,,0 days 00:05:49,2023-06-24 09:04:12,,False,,3499,7.5,False,100,10,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  3.201817e+09  NaN    10.0     o
2  1.552651e+09  NaN    10.0     d"
11,11,735308421,44835261,2023-06-24 08:58:30,,0 days 00:08:00,2023-06-24 09:06:30,,False,,4804,7.5,False,100,11,0,"          node time  req_id    od
0          NaN  NaN     NaN  None
1  735308421.0  NaN    11.0     o
2   44835261.0  NaN    11.0     d"
12,12,1371031395,7003131561,2023-06-24 09:01:31,,0 days 00:03:56,2023-06-24 09:05:27,,False,,2366,7.5,False,100,12,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.371031e+09  NaN    12.0     o
2  7.003132e+09  NaN    12.0     d"
